"filename", "language", "JavaScript", "HTML", "SQL", "JSON", "CSS", "Markdown", "comment", "blank", "total"
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/public/js/validations/users/signup.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 13, 87
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/app.js", "JavaScript", 37, 0, 0, 0, 0, 0, 1, 13, 51
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/controllers/IndexController.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/controllers/productController.js", "JavaScript", 222, 0, 0, 0, 0, 0, 8, 22, 252
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/controllers/productControllerAPI.js", "JavaScript", 129, 0, 0, 0, 0, 0, 0, 9, 138
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/controllers/userController.js", "JavaScript", 162, 0, 0, 0, 0, 0, 7, 20, 189
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/controllers/userControllerAPI.js", "JavaScript", 68, 0, 0, 0, 0, 0, 1, 2, 71
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/middlewares/Authenticator.js", "JavaScript", 8, 0, 0, 0, 0, 0, 4, 3, 15
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/middlewares/Logged.js", "JavaScript", 7, 0, 0, 0, 0, 0, 4, 3, 14
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/middlewares/LoginCheck.js", "JavaScript", 9, 0, 0, 0, 0, 0, 4, 2, 15
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/middlewares/loginValidator.js", "JavaScript", 9, 0, 0, 0, 0, 0, 4, 2, 15
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/middlewares/multerMiddlewareProducts.js", "JavaScript", 13, 0, 0, 0, 0, 0, 4, 4, 21
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/middlewares/multerMiddlewareUsers.js", "JavaScript", 13, 0, 0, 0, 0, 0, 4, 4, 21
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/middlewares/productValidator.js", "JavaScript", 26, 0, 0, 0, 0, 0, 4, 3, 33
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/middlewares/signupValidator.js", "JavaScript", 30, 0, 0, 0, 0, 0, 5, 2, 37
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/routes/indexRoutes.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 3, 8
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/routes/productRoutes.js", "JavaScript", 22, 0, 0, 0, 0, 0, 3, 10, 35
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/routes/productRoutesAPI.js", "JavaScript", 9, 0, 0, 0, 0, 0, 2, 3, 14
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/routes/userRoutes.js", "JavaScript", 18, 0, 0, 0, 0, 0, 3, 9, 30
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/routes/userRoutesAPI.js", "JavaScript", 8, 0, 0, 0, 0, 0, 2, 5, 15
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/views/error404.ejs", "HTML", 0, 26, 0, 0, 0, 0, 0, 0, 26
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/views/index.ejs", "HTML", 0, 72, 0, 0, 0, 0, 0, 0, 72
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/views/partials/footer.ejs", "HTML", 0, 65, 0, 0, 0, 0, 0, 0, 65
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/views/partials/head.ejs", "HTML", 0, 7, 0, 0, 0, 0, 0, 0, 7
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/views/partials/header.ejs", "HTML", 0, 106, 0, 0, 0, 0, 3, 1, 110
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/views/products/cart.ejs", "HTML", 0, 95, 0, 0, 0, 0, 1, 3, 99
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/views/products/create.ejs", "HTML", 0, 84, 0, 0, 0, 0, 3, 1, 88
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/views/products/detail.ejs", "HTML", 0, 58, 0, 0, 0, 0, 11, 1, 70
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/views/products/edit.ejs", "HTML", 0, 94, 0, 0, 0, 0, 0, 4, 98
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/views/products/list.ejs", "HTML", 0, 46, 0, 0, 0, 0, 1, 0, 47
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/views/users/cartPost.ejs", "HTML", 0, 35, 0, 0, 0, 0, 0, 0, 35
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/views/users/edit.ejs", "HTML", 0, 70, 0, 0, 0, 0, 5, 0, 75
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/views/users/login.ejs", "HTML", 0, 52, 0, 0, 0, 0, 2, 0, 54
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/views/users/profile.ejs", "HTML", 0, 36, 0, 0, 0, 0, 0, 0, 36
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/src/views/users/signup.ejs", "HTML", 0, 104, 0, 0, 0, 0, 10, 15, 129
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/structure.sql", "SQL", 0, 0, 106, 0, 0, 0, 102, 48, 256
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/structure_v2.sql", "SQL", 0, 0, 121, 0, 0, 0, 117, 58, 296
"/Users/marcelosturmann/Documents/DH-Grupo8/grupo_8_livingHouse/structure_v3.sql", "SQL", 0, 0, 137, 0, 0, 0, 133, 66, 336
"Total", "-", 1207, 950, 364, 2236, 2211, 269, 686, 878, 8801
